tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,volume,netAsset,totalAsset,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pprice,pchange,pchRatio,unSymbol,tickerType,belongTickerId,direction,weekly,quoteLotSize,expireDate,strikePrice,trdStatus,price,quoteMultiplier,cycle,dt,position,middlePrice,turnover,positionChange,implVol,expirationType,marketValue,turnoverRate,rank_type
1022607723,189,2,[61],6,247,USD,Energy Transfer L P,ET240119C00015000,ET,NYSE,OPRA,1,derivative,2023-10-27T23:58:48.368+0000,2023-10-27T23:58:48.368+0000,A,0.09,0.00,0.0000,1278,,,United States,US,10.8914,13.26,14.15,11.37,13.26,13.32,13.05,0.0204,2023-11-01,,13.12,0.01,0.0008,ET,7,913255266,call,0,100,2024-01-19,15,1,0.09,100,3,dr,218652,0.09,116.77,157,0.2275,,41231617888,0.0047,position
1022579202,189,2,[61],6,247,USD,Vale S A,VALE240119C00017000,VALE,NYSE,OPRA,1,derivative,2023-10-27T23:52:30.097+0000,2023-10-27T23:52:30.097+0000,A,0.05,-0.01,-0.1667,2097,,,United States,US,5.1246,13.03,19.31,12.22,13.20,13.69,13.19,0.0384,,02/14-02/19,13.48,-0.01,-0.0007,VALE,7,913324268,call,0,100,2024-01-19,17,1,0.05,100,3,dr,218040,0.07,106.30,11,0.3364,,58592369640,0.0118,position
1037776211,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231115P00019000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.81,-0.29,-0.2636,22760,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,put,0,100,2023-11-15,19,0,0.81,100,3,dr,214731,0.81,20358.98,3381,0.9206,1.0,,,position
1022570957,189,3,"[6, 34]",6,247,USD,iShares Silver Trust,SLV240119C00021000,SLV,NYSEARCA,OPRA,1,derivative,2023-10-27T23:59:59.492+0000,2023-10-27T23:59:59.492+0000,A,1.26,0.18,0.1667,601,13669514095,10093860911,United States,US,0.0000,20.85,23.94,17.41,20.92,21.19,20.76,0.0204,,,21.17,-0.01,-0.0005,SLV,7,913244503,call,0,100,2024-01-19,21,1,1.26,100,3,dr,214126,1.26,710.88,247,0.2593,,,,position
1036002694,189,3,"[2, 34]",6,247,USD,iShares iBoxx $ High Yield Corp Bd ETF,HYG231117P00072000,HYG,NYSEARCA,OPRA,1,derivative,2023-10-27T23:56:11.975+0000,2023-10-27T23:56:11.975+0000,A,0.56,0.04,0.0769,9948,31329737864,10875730200,United States,US,0.0000,72.45,77.34,71.68,72.52,72.61,72.23,0.0052,,,72.40,0.04,0.0006,HYG,7,913242920,put,0,100,2023-11-17,72,1,0.56,100,3,dr,213582,0.59,5621.78,2239,0.0858,,,,position
1018484483,189,3,"[1, 34]",6,247,USD,Invesco QQQ Trust,QQQ231215P00330000,QQQ,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:57.215+0000,2023-10-27T23:59:57.215+0000,A,6.00,-0.29,-0.0461,77643,139056373473,191362712486,United States,US,0,343.66,387.98,259.08,346.43,348.84,344.08,0.0139,,,345.43,0.12,0.0003,QQQ,7,913243249,put,0,100,2023-12-15,330,1,6.00,100,3,dr,199647,5.99,476784.97,-72,0.2627,,,,position
1038286212,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231220C00025000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,1.91,0.17,0.0977,6548,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,call,0,100,2023-12-20,25,0,1.91,100,3,dr,198472,1.89,10957.41,-6423,1.0126,1.0,,,position
1039224010,189,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY231117P00400000,SPY,NYSEARCA,OPRA,1,derivative,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,3.77,0.62,0.1968,33252,307954340358,382413660519,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,410.40,-0.28,-0.0007,SPY,7,913243251,put,0,100,2023-11-17,400,1,3.77,100,3,dr,197777,3.78,114821.55,-28530,0.2168,,,,position
1036494897,189,3,"[2, 34]",6,247,USD,iShares iBoxx $ High Yield Corp Bd ETF,HYG231215P00068000,HYG,NYSEARCA,OPRA,1,derivative,2023-10-27T23:56:11.975+0000,2023-10-27T23:56:11.975+0000,A,0.24,0.02,0.0909,994,31329737864,10875730200,United States,US,0.0000,72.45,77.34,71.68,72.52,72.61,72.23,0.0052,,,72.40,0.04,0.0006,HYG,7,913242920,put,0,100,2023-12-15,68,1,0.24,100,3,dr,192486,0.20,237.37,5,0.1229,,,,position
1037776275,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231115P00015000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.04,-0.02,-0.3333,17994,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,put,0,100,2023-11-15,15,0,0.04,100,3,dr,191824,0.05,920.57,-34747,0.8190,1.0,,,position
1037776227,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231115P00016000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.09,-0.05,-0.3571,20552,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,put,0,100,2023-11-15,16,0,0.09,100,3,dr,190330,0.09,2466.79,-3538,0.8077,1.0,,,position
