tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,marketValue,volume,turnoverRate,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pprice,pchange,pchRatio,unSymbol,tickerType,belongTickerId,direction,weekly,quoteLotSize,expireDate,strikePrice,trdStatus,price,quoteMultiplier,cycle,dt,position,middlePrice,turnover,positionChange,implVol,expirationType,netAsset,totalAsset,rank_type
1037983469,189,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM231117P00183000,IWM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,21.07,3.43,0.1944,,50580,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,162.01,-0.20,-0.0012,IWM,7,913243073,put,0,100,2023-11-17,183,1,21.07,100,3,dr,5749,20.87,1064157.80,0,0.2107,,41592328473,46769065197,turnover
1033487394,189,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM240621P00200000,IWM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,38.01,1.97,0.0547,,26748,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,162.01,-0.20,-0.0012,IWM,7,913243073,put,0,100,2024-06-21,200,1,38.01,100,3,dr,10471,37.84,1020284.30,0,0.1835,,41592328473,46769065197,turnover
1018562590,189,1,,6,247,USD,S&P 500,SPX231215C00100000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,4027.44,-106.99,-0.0259,,236,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,call,0,100,2023-12-15,100,0,4027.44,100,3,dr,986,4006.90,951307.00,0,2.8122,1.0,,,turnover
1035649166,189,1,,6,247,USD,S&P 500,SPX231117P04100000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,63.37,5.17,0.0888,,14711,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,put,0,100,2023-11-17,4100,0,63.37,100,3,dr,45331,64.60,948220.94,6120,0.1958,1.0,,,turnover
1034497481,189,2,[61],6,247,USD,Tesla Inc,TSLA240119P00366670,TSLA,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:58.141+0000,2023-10-27T23:59:58.141+0000,A,158.95,3.25,0.0209,658990404354,5719,0.0298,United States,US,66.7977,205.76,299.29,101.81,210.60,214.20,205.77,0.0323,,01/23-01/29,207.64,0.34,0.0016,TSLA,7,913255598,put,0,100,2024-01-19,366.67,1,158.95,100,3,dr,796,159.78,913800.60,-6,0.5443,,,,turnover
1018562584,189,1,,6,247,USD,S&P 500,SPX231215C00200000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,3932.59,-2.83,-0.0007,,232,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,call,0,100,2023-12-15,200,0,3932.59,100,3,dr,510,3907.60,912904.56,0,2.3051,1.0,,,turnover
1023012658,189,2,[61],6,247,USD,Zoom Video Communications,ZM240119P00130000,ZM,NASDAQ,OPRA,1,derivative,2023-10-27T23:47:52.814+0000,2023-10-27T23:47:52.814+0000,A,70.65,0.10,0.0014,17843737802,12750,0.0060,United States,US,620.8377,59.50,89.67,58.87,59.96,60.14,59.00,0.0192,,11/20-11/24,59.20,-0.09,-0.0015,ZM,7,950118595,put,0,100,2024-01-19,130,1,70.65,100,3,dr,2205,70.70,902767.50,0,0.6348,,,,turnover
1018480874,189,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM231215P00195000,IWM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,33.05,3.41,0.1150,,27340,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,162.01,-0.20,-0.0012,IWM,7,913243073,put,0,100,2023-12-15,195,1,33.05,100,3,dr,3542,32.87,902288.20,0,0.1976,,41592328473,46769065197,turnover
1018480876,189,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM231215P00200000,IWM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,38.04,3.41,0.0985,,23601,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,162.01,-0.20,-0.0012,IWM,7,913243073,put,0,100,2023-12-15,200,1,38.04,100,3,dr,3227,37.87,896707.56,0,0.2068,,41592328473,46769065197,turnover
1039625536,189,1,,6,247,USD,S&P 500,SPX231215C04130000,SPX,IDXSP,OPRA,1,derivative,2023-10-27T20:53:39.763+0000,,B,115.50,-12.82,-0.0999,,7547,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,SPX,7,913354362,call,0,100,2023-12-15,4130,0,115.50,100,3,dr,96,114.80,876876.00,25,0.1867,1.0,,,turnover
