tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,marketValue,volume,turnoverRate,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pchRatio,pprice,pchange,unSymbol,tickerType,belongTickerId,direction,weekly,quoteLotSize,expireDate,strikePrice,trdStatus,price,quoteMultiplier,cycle,dt,position,middlePrice,turnover,positionChange,implVol,expirationType,netAsset,totalAsset,rank_type
1041577287,189,2,[61],6,247,USD,Sarepta Therapeutics Inc,SRPT231103P00070000,SRPT,NASDAQ,OPRA,1,derivative,2023-10-27T23:33:39.350+0000,2023-10-27T23:33:39.350+0000,A,4.30,0.70,0.1944,9964985100,114,0.0100,United States,US,-10.3572,111.60,159.89,100.15,111.90,111.90,106.05,0.0524,2023-11-01,10/31-11/06,0.0194,108.90,2.07,SRPT,7,913257562,put,1,100,2023-11-03,70,1,4.30,100,2,dr,1274,5.30,464.44,199,3.7442,,,,impVol
1041627382,189,2,[61],6,247,USD,Wework Inc,WE231110P00002000,WE,NYSE,OPRA,1,derivative,2023-10-27T23:57:07.439+0000,2023-10-27T23:57:07.439+0000,A,0.50,0.11,0.2821,128727123,143,0.0736,United States,US,-0.0321,2.360,130.80,1.840,2.370,2.830,2.300,0.2245,,11/08-11/13,0.0162,2.480,0.040,WE,7,950177517,put,1,100,2023-11-10,2,1,0.50,100,2,dr,43,0.43,66.18,0,3.7341,,,,impVol
1041688158,189,2,[61],6,247,USD,Wework Inc,WE231103C00002500,WE,NYSE,OPRA,1,derivative,2023-10-27T23:57:07.439+0000,2023-10-27T23:57:07.439+0000,A,0.39,0.09,0.3000,128727123,309,0.0736,United States,US,-0.0321,2.360,130.80,1.840,2.370,2.830,2.300,0.2245,,11/08-11/13,0.0162,2.480,0.040,WE,7,950177517,call,1,100,2023-11-03,2.5,1,0.39,100,2,dr,298,0.40,163.57,123,3.7310,,,,impVol
1041479892,189,2,[61],6,247,USD,Ebix Inc,EBIX231103P00003000,EBIX,NASDAQ,OPRA,1,derivative,2023-10-27T20:02:12.987+0000,2023-10-27T20:02:12.987+0000,A,0.05,-0.07,-0.5833,170575948,397,0.0278,United States,US,5.0763,5.56,32.87,5.12,5.60,5.67,5.41,0.0459,,11/07-11/13,0.0000,5.52,0.00,EBIX,7,913256838,put,1,100,2023-11-03,3,1,0.05,100,2,dr,544,0.10,20.91,6,3.7219,,,,impVol
1041900314,189,2,[61],6,247,USD,Biovie Inc,BIVI231215C00005000,BIVI,NASDAQ,OPRA,1,derivative,2023-10-27T23:47:45.580+0000,2023-10-27T23:47:45.580+0000,A,1.20,-0.12,-0.0909,117404019,166,0.0082,United States,US,-2.0619,3.230,14.38,2.570,3.130,3.250,2.970,0.0867,,11/01-11/05,-0.0752,2.950,-0.240,BIVI,7,925241640,call,0,100,2023-12-15,5,,1.20,100,3,dr,709,1.05,201.65,232,3.7205,,,,impVol
1041578288,189,2,[61],6,247,USD,Sarepta Therapeutics Inc,SRPT231103P00075000,SRPT,NASDAQ,OPRA,1,derivative,2023-10-27T23:33:39.350+0000,2023-10-27T23:33:39.350+0000,A,5.87,0.27,0.0482,9964985100,240,0.0100,United States,US,-10.3572,111.60,159.89,100.15,111.90,111.90,106.05,0.0524,2023-11-01,10/31-11/06,0.0194,108.90,2.07,SRPT,7,913257562,put,1,100,2023-11-03,75,1,5.87,100,2,dr,65,6.30,1412.53,55,3.7114,,,,impVol
1041708584,189,2,[61],6,247,USD,Wework Inc,WE231103C00003500,WE,NYSE,OPRA,1,derivative,2023-10-27T23:57:07.439+0000,2023-10-27T23:57:07.439+0000,A,0.15,0.00,0.0000,128727123,362,0.0736,United States,US,-0.0321,2.360,130.80,1.840,2.370,2.830,2.300,0.2245,,11/08-11/13,0.0162,2.480,0.040,WE,7,950177517,call,1,100,2023-11-03,3.5,1,0.15,100,2,dr,83,0.13,88.89,80,3.6780,,,,impVol
1041562537,189,2,[61],6,247,USD,Wework Inc,WE231103C00003000,WE,NYSE,OPRA,1,derivative,2023-10-27T23:57:07.439+0000,2023-10-27T23:57:07.439+0000,A,0.21,0.01,0.0500,128727123,100,0.0736,United States,US,-0.0321,2.360,130.80,1.840,2.370,2.830,2.300,0.2245,,11/08-11/13,0.0162,2.480,0.040,WE,7,950177517,call,1,100,2023-11-03,3,1,0.21,100,2,dr,1275,0.25,29.28,99,3.6535,,,,impVol
1041536819,189,2,[61],6,247,USD,Sarepta Therapeutics Inc,SRPT231103P00085000,SRPT,NASDAQ,OPRA,1,derivative,2023-10-27T23:33:39.350+0000,2023-10-27T23:33:39.350+0000,A,9.70,-0.05,-0.0051,9964985100,102,0.0100,United States,US,-10.3572,111.60,159.89,100.15,111.90,111.90,106.05,0.0524,2023-11-01,10/31-11/06,0.0194,108.90,2.07,SRPT,7,913257562,put,1,100,2023-11-03,85,1,9.70,100,2,dr,400,10.25,979.68,0,3.6515,,,,impVol
1041293186,189,2,[61],6,247,USD,Morphosys Ag,MOR231117P00002500,MOR,NASDAQ,OPRA,1,derivative,2023-10-27T20:00:01.610+0000,2023-10-27T13:25:00.001+0000,B,0.20,0.00,0.0000,1041505013,180,0.0023,United States,US,10.8254,7.59,8.67,3.170,7.80,7.81,7.54,0.0341,2023-11-15,,0.0250,7.78,0.19,MOR,7,950056137,put,0,100,2023-11-17,2.5,0,0.20,100,3,dr,3145,0.18,34.50,693,3.6287,,,,impVol
