tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,volume,netAsset,totalAsset,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pprice,pchange,pchRatio,dt,position,volumeCallPutRatio,positionCallPutRatio,price,marketValue,turnoverRate,rank_type
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,10387285,307954340358,382413660519,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,410.40,-0.28,-0.0007,sr,18111275,1.34,1.80,410.68,,,totalPosition
913354362,53,1,,6,247,USD,S&P 500,SPX,SPX,IDXSP,SP,1,index,2023-10-27T20:53:39.763+0000,,B,4117.37,-19.86,-0.0048,3846657,,,United States,US,0,4137.23,4607.07,3698.15,4152.93,4156.70,4103.78,0.013,,,,,,sr,15780491,1.54,1.97,4117.37,,,totalPosition
913243249,95,3,"[1, 34]",6,247,USD,Invesco QQQ Trust,QQQ,QQQ,NASDAQ,NMS,1,etf,2023-10-27T23:59:57.215+0000,2023-10-27T23:59:57.215+0000,A,345.31,1.65,0.0048,4273485,139056373473,191362712486,United States,US,0,343.66,387.98,259.08,346.43,348.84,344.08,0.0139,,,345.43,0.12,0.0003,sr,11820318,1.27,1.77,345.31,,,totalPosition
925323875,196,1,,6,247,USD,CBOE Market Volatility Index,VIX,VIX,CBOE,CBOE-CSMI,1,index,2023-10-27T20:15:01.236+0000,,B,21.27,0.59,0.0285,957542,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,sr,11221356,0.53,0.37,21.27,,,totalPosition
913243073,34,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM,IWM,NYSEARCA,PSE,1,etf,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,162.21,-1.93,-0.0118,2138542,41592328473,46769065197,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,162.01,-0.20,-0.0012,sr,9185911,2.64,2.14,162.21,,,totalPosition
913255598,96,2,[61],6,247,USD,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,2023-10-27T23:59:58.141+0000,2023-10-27T23:59:58.141+0000,A,207.30,1.54,0.0075,2326166,,,United States,US,66.7977,205.76,299.29,101.81,210.60,214.20,205.77,0.0323,,01/23-01/29,207.64,0.34,0.0016,sr,7279366,1.12,0.83,207.30,658990404354,0.0298,totalPosition
913242920,34,3,"[2, 34]",6,247,USD,iShares iBoxx $ High Yield Corp Bd ETF,HYG,HYG,NYSEARCA,PSE,1,etf,2023-10-27T23:56:11.975+0000,2023-10-27T23:56:11.975+0000,A,72.36,-0.09,-0.0012,512222,31329737864,10875730200,United States,US,0.0000,72.45,77.34,71.68,72.52,72.61,72.23,0.0052,,,72.40,0.04,0.0006,sr,6611892,4.32,3.82,72.36,,,totalPosition
913256180,96,2,[61],6,247,USD,Amazon Com,AMZN,AMZN,NASDAQ,NSQ,1,stock,2023-10-27T23:59:51.127+0000,2023-10-27T23:59:51.127+0000,A,127.74,8.17,0.0683,2321274,,,United States,US,101.5583,119.57,145.86,81.43,126.20,130.02,125.52,0.0376,2023-10-26,,127.71,-0.03,-0.0002,sr,6570762,0.61,0.86,127.74,1317989486681,0.0121,totalPosition
913256135,96,2,[61],6,247,USD,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,2023-10-27T23:59:49.636+0000,2023-10-27T23:59:49.636+0000,A,168.22,1.33,0.0080,745112,,,United States,US,28.2699,166.89,198.23,124.17,166.91,168.96,166.83,0.0127,2023-11-02,,168.02,-0.20,-0.0012,sr,6231974,0.87,0.86,168.22,2629990507040,0.0037,totalPosition
913254999,11,2,[61],6,247,USD,Bank of America,BAC,BAC,NYSE,NYSE,1,stock,2023-10-27T23:59:50.193+0000,2023-10-27T23:59:50.193+0000,A,25.17,-0.95,-0.0364,343317,,,United States,US,7.0530,26.12,38.60,24.96,26.07,26.07,24.96,0.0417,2024-01-12,,25.16,-0.01,-0.0004,sr,5029850,1.62,1.36,25.17,199431978000,0.0082,totalPosition
913243231,34,3,"[1, 34]",6,247,USD,Financial Select Sector SPDR® ETF,XLF,XLF,NYSEARCA,PSE,1,etf,2023-10-27T23:59:45.902+0000,2023-10-27T23:59:45.902+0000,A,31.45,-0.58,-0.0181,358503,18749211299,28022806521,United States,US,0.0000,32.03,37.11,30.39,31.99,32.03,31.36,0.0208,,,31.45,0.00,0.0000,sr,3675098,0.79,1.26,31.45,,,totalPosition
913243154,95,3,"[2, 34]",6,247,USD,iShares 20+ Year Treasury Bond ETF,TLT,TLT,NASDAQ,NMS,1,etf,2023-10-27T23:59:55.327+0000,2023-10-27T23:59:55.327+0000,A,84.37,-0.36,-0.0042,314355,1.784937224E+10,39969874335,United States,US,5.1300,84.73,109.68,82.42,84.19,84.97,83.74,0.0087,,,84.33,-0.04,-0.0005,sr,3588175,0.38,0.42,84.37,,,totalPosition
913244503,34,3,"[6, 34]",6,247,USD,iShares Silver Trust,SLV,SLV,NYSEARCA,PSE,1,etf,2023-10-27T23:59:59.492+0000,2023-10-27T23:59:59.492+0000,A,21.18,0.33,0.0158,123893,13669514095,10093860911,United States,US,0.0000,20.85,23.94,17.41,20.92,21.19,20.76,0.0204,,,21.17,-0.01,-0.0005,sr,3476331,0.30,0.26,21.18,,,totalPosition
913243879,34,3,"[1, 34]",6,247,USD,iShares MSCI Emerging Markets ETF,EEM,EEM,NYSEARCA,PSE,1,etf,2023-10-27T23:26:44.709+0000,2023-10-27T23:26:44.709+0000,A,36.53,-0.03,-0.0008,246856,24465162009,16278429441,United States,US,0.0000,36.56,42.53,33.92,36.89,36.95,36.47,0.0130,,,36.55,0.02,0.0005,sr,3303071,3.44,2.40,36.53,,,totalPosition
913255275,11,2,[61],6,247,USD,Ford Mtr Co Del,F,F,NYSE,NYSE,1,stock,2023-10-27T23:59:55.256+0000,2023-10-27T23:59:55.256+0000,A,9.96,-1.39,-0.1225,601348,,,United States,US,9.7019,11.35,15.42,9.90,10.93,10.97,9.90,0.0943,2023-10-26,10/25-10/31,9.98,0.02,0.0020,sr,3261945,0.86,1.21,9.96,39862166995,0.0467,totalPosition
