bt_tickerId,bt_exchangeId,bt_type,bt_secType,bt_regionId,bt_currencyId,bt_currencyCode,bt_name,bt_symbol,bt_disSymbol,bt_disExchangeCode,bt_exchangeCode,bt_listStatus,bt_template,bt_tradeTime,bt_faTradeTime,bt_status,bt_close,bt_change,bt_changeRatio,bt_marketValue,bt_volume,bt_turnoverRate,bt_regionName,bt_regionIsoCode,bt_peTtm,bt_preClose,bt_fiftyTwoWkHigh,bt_fiftyTwoWkLow,bt_open,bt_high,bt_low,bt_vibrateRatio,bt_nextEarningDay,bt_estimateEarningsDate,bt_pchange,bt_pchRatio,bt_pprice,d_tickerId,d_exchangeId,d_regionId,d_symbol,d_unSymbol,d_tickerType,d_exchangeCode,d_belongTickerId,d_direction,d_weekly,d_quoteLotSize,d_expireDate,d_strikePrice,d_trdStatus,d_price,d_close,d_change,d_changeRatio,d_template,d_quoteMultiplier,d_cycle,v_dt,v_tickerId,v_volume,v_position,v_price,v_changeRatio,v_change,v_belongTickerId,v_middlePrice,v_turnover,v_positionChange,v_implVol,bt_netAsset,bt_totalAsset,d_expirationType,rank_type
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041847552,189,6,SPY231030C00413000,SPY,7,OPRA,913243251,call,1,100,2023-10-30,413,,1.02,1.02,-2.11,-0.6741,derivative,100,2,dr,1041847552,78073,2862,1.02,-0.6741,-2.11,913243251,1.03,138718.73,2707,0.1319,307954340358,382228994273,,volume
913243249,95,3,"[1, 34]",6,247,USD,Invesco QQQ Trust,QQQ,QQQ,NASDAQ,NMS,1,etf,2023-10-27T23:59:57.215+0000,2023-10-27T23:59:57.215+0000,A,345.31,1.65,0.0048,,63476707,,United States,US,0,343.66,387.98,259.08,346.43,348.84,344.08,0.0139,,,0.12,0.0003,345.43,1018484483,189,6,QQQ231215P00330000,QQQ,7,OPRA,913243249,put,0,100,2023-12-15,330,1,6.00,6.00,-0.29,-0.0461,derivative,100,3,dr,1018484483,77643,199647,6.00,-0.0461,-0.29,913243249,5.99,476784.97,-72,0.2627,139056373473,191801909368,,volume
913243073,34,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM,IWM,NYSEARCA,PSE,1,etf,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,162.21,-1.93,-0.0118,,46017094,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,-0.20,-0.0012,162.01,1018480881,189,6,IWM231215P00185000,IWM,7,OPRA,913243073,put,0,100,2023-12-15,185,1,22.99,22.99,1.99,0.0948,derivative,100,3,dr,1018480881,71736,29391,22.99,0.0948,1.99,913243073,22.88,1651801.60,2,0.1912,41592328473,46987968789,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041848880,189,6,SPY231030P00409000,SPY,7,OPRA,913243251,put,1,100,2023-10-30,409,1,1.31,1.31,0.19,0.1696,derivative,100,2,dr,1041848880,69104,6632,1.31,0.1696,0.19,913243251,1.31,100761.78,2482,0.1399,307954340358,382228994273,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041559284,189,6,SPY231103P00410000,SPY,7,OPRA,913243251,put,1,100,2023-11-03,410,1,4.15,4.15,0.96,0.3009,derivative,100,2,dr,1041559284,67288,81751,4.15,0.3009,0.96,913243251,4.15,261219.80,33861,0.2056,307954340358,382228994273,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041820867,189,6,SPY231030P00400000,SPY,7,OPRA,913243251,put,1,100,2023-10-30,400,1,0.07,0.07,-0.07,-0.5000,derivative,100,2,dr,1041820867,66844,23192,0.07,-0.5000,-0.07,913243251,0.08,5848.22,21295,0.1598,307954340358,382228994273,,volume
913243073,34,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM,IWM,NYSEARCA,PSE,1,etf,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,162.21,-1.93,-0.0118,,46017094,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,-0.20,-0.0012,162.01,1018480886,189,6,IWM231215P00190000,IWM,7,OPRA,913243073,put,0,100,2023-12-15,190,1,28.06,28.06,3.44,0.1397,derivative,100,3,dr,1018480886,65268,11476,28.06,0.1397,3.44,913243073,27.88,1831209.90,0,0.1921,41592328473,46987968789,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041847510,189,6,SPY231030C00412000,SPY,7,OPRA,913243251,call,1,100,2023-10-30,412,1,1.42,1.42,-2.27,-0.6152,derivative,100,2,dr,1041847510,63713,1491,1.42,-0.6152,-2.27,913243251,1.42,123685.06,1456,0.1343,307954340358,382228994273,,volume
925323875,196,1,,6,247,USD,CBOE Market Volatility Index,VIX,VIX,CBOE,CBOE-CSMI,1,index,2023-10-27T20:15:01.236+0000,,B,21.27,0.59,0.0285,,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,1037776221,189,6,VIX231115P00017000,VIX,7,OPRA,925323875,put,0,100,2023-11-15,17,0,0.24,0.24,-0.09,-0.2727,derivative,100,3,dr,1037776221,63527,280252,0.24,-0.2727,-0.09,925323875,0.22,17109.41,-16336,0.8359,,,1.0,volume
913243249,95,3,"[1, 34]",6,247,USD,Invesco QQQ Trust,QQQ,QQQ,NASDAQ,NMS,1,etf,2023-10-27T23:59:57.215+0000,2023-10-27T23:59:57.215+0000,A,345.31,1.65,0.0048,,63476707,,United States,US,0,343.66,387.98,259.08,346.43,348.84,344.08,0.0139,,,0.12,0.0003,345.43,1041824511,189,6,QQQ231030P00345000,QQQ,7,OPRA,913243249,put,1,100,2023-10-30,345,,1.90,1.90,-1.13,-0.3729,derivative,100,2,dr,1041824511,63523,1833,1.90,-0.3729,-1.13,913243249,1.91,127193.57,516,0.1679,139056373473,191801909368,,volume
