Open,High,Low,Close,Timestamp
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:53:39
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:20:00
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:59
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:58
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:57
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:56
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:55
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:54
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:53
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:52
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:51
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:50
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:49
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:48
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:47
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:46
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:45
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:44
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:43
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:42
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:41
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:40
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:39
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:38
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:37
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:36
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:35
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:34
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:33
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:32
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:31
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:30
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:29
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:28
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:27
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:26
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:25
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:24
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:23
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:22
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:21
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:20
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:19
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:18
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:17
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:16
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:15
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:14
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:13
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:12
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:11
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:10
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:09
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:08
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:07
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:06
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:05
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:04
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:03
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:02
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:01
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:19:00
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:59
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:58
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:57
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:56
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:55
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:54
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:53
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:52
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:51
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:50
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:49
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:48
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:47
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:46
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:45
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:44
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:43
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:42
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:41
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:40
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:39
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:38
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:37
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:36
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:35
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:34
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:33
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:32
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:31
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:30
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:29
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:28
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:27
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:26
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:25
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:24
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:23
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:22
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:21
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:20
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:19
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:18
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:17
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:16
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:15
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:14
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:13
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:12
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:11
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:10
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:09
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:08
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:07
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:06
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:05
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:04
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:03
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:02
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:01
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:18:00
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:17:59
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:17:58
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:17:57
4117.37,4117.37,4117.37,4117.37,2023-10-27 15:17:56
